rank,name,link,symbol,volume,website,chat
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,12242600000,"https://bitcoin.org/ , https://www.bitcoin.com/",
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,5386250000,https://www.ethereum.org/,https://gitter.im/orgs/ethereum/rooms
3,Ripple,https://coinmarketcap.com/currencies/ripple/,XRP,3464200000,https://ripple.com/,"https://t.me/Ripple , https://discord.gg/N4x7kPb"
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,1130850000,https://www.bitcoincash.org/,
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,322865000,https://www.cardanohub.org/,https://chat.cardanohub.org/
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,711144000,"https://litecoin.com , https://litecoin.org/",https://telegram.me/litecoin
7,NEM,https://coinmarketcap.com/currencies/nem/,XEM,65719900,http://nem.io,https://t.me/nemred
8,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,384983000,https://www.stellar.org,http://slack.stellar.org/
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,133548000,https://iota.org/,https://slack.iota.org/
10,EOS,https://coinmarketcap.com/currencies/eos/,EOS,2426990000,https://eos.io/,https://t.me/joinchat/AAAAAEQbOeucnaMWN0A9dQ
11,Dash,https://coinmarketcap.com/currencies/dash/,DASH,139367000,https://www.dash.org/,https://discord.gg/9z8zX5j
12,NEO,https://coinmarketcap.com/currencies/neo/,NEO,235235000,https://neo.org/,
13,TRON,https://coinmarketcap.com/currencies/tron/,TRX,698138000,https://tronlab.com/,
14,Monero,https://coinmarketcap.com/currencies/monero/,XMR,142268000,http://www.monero.cc,https://telegram.me/bitmonero
15,ICON,https://coinmarketcap.com/currencies/icon/,ICX,126271000,https://www.icon.foundation/,https://t.me/joinchat/Fqw4igkkVmYtj--ZVi-QcA
16,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,112903000,https://bitcoingold.org/,
17,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,712379000,https://qtum.org/,https://t.me/joinchat/D5oBaw29NeOdpw6qqqf2lw
18,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,518920000,https://ethereumclassic.github.io/,
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,94154400,https://lisk.io/,
20,RaiBlocks,https://coinmarketcap.com/currencies/raiblocks/,XRB,24814500,https://raiblocks.net/,https://discordapp.com/invite/JphbBas
21,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,85201600,https://omg.omise.co/,"https://telegram.me/omisego , https://omg.omise.co/slack"
22,Verge,https://coinmarketcap.com/currencies/verge/,XVG,147560000,http://vergecurrency.com/,"https://t.me/VERGExvg , https://discord.gg/vergecurrency"
23,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,412330000,https://www.binance.com/,
24,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,16802500,https://bytecoin.org/,https://telegram.me/bytecoinchat
25,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,183088000,https://z.cash/,
26,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,141280000,http://sia.tech/,https://discord.gg/sia
27,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,22897400,https://bitconnectcoin.co/,
28,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,39461800,http://stratisplatform.com/,https://t.me/StratisPlatform
29,Populous,https://coinmarketcap.com/currencies/populous/,PPT,1981690,http://populous.co/,"https://bitpopulous.slack.com/ , https://t.me/ppttalk"
30,KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,KCS,17103800,https://www.kucoin.com/,
31,VeChain,https://coinmarketcap.com/currencies/vechain/,VEN,154667000,https://www.vechain.com/,"https://t.me/vechain_official_english , https://t.me/joinchat/GG4BlQwm19czcBGOewv40Q"
32,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,50880300,https://bitshares.org,https://t.me/BitSharesDEX
33,Status,https://coinmarketcap.com/currencies/status/,SNT,53081000,http://status.im/,https://chat.status.im/#/register
34,Tether,https://coinmarketcap.com/currencies/tether/,USDT,2746550000,https://tether.to,
35,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,3703380,https://www.ardorplatform.org/,
36,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,56800400,http://dogecoin.com/,https://discord.me/dogecoin/
37,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,16357800,"https://steem.io/ , https://steemit.com/",
38,Augur,https://coinmarketcap.com/currencies/augur/,REP,15233600,http://www.augur.net/,
39,Dentacoin,https://coinmarketcap.com/currencies/dentacoin/,DCN,7760850,http://www.dentacoin.com/,https://t.me/dentacoin
