rank,name,link,symbol,website,chat
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"https://bitcoin.org/ , https://www.bitcoin.com/",
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,https://www.ethereum.org/,https://gitter.im/orgs/ethereum/rooms
3,Ripple,https://coinmarketcap.com/currencies/ripple/,XRP,https://ripple.com/,"https://t.me/Ripple , https://discord.gg/N4x7kPb"
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,https://www.bitcoincash.org/,
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,https://www.cardanohub.org/,https://chat.cardanohub.org/
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"https://litecoin.com , https://litecoin.org/",https://telegram.me/litecoin
7,NEM,https://coinmarketcap.com/currencies/nem/,XEM,http://nem.io,https://t.me/nemred
8,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,https://www.stellar.org,http://slack.stellar.org/
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,https://iota.org/,https://slack.iota.org/
10,EOS,https://coinmarketcap.com/currencies/eos/,EOS,https://eos.io/,https://t.me/joinchat/AAAAAEQbOeucnaMWN0A9dQ
11,Dash,https://coinmarketcap.com/currencies/dash/,DASH,https://www.dash.org/,https://discord.gg/9z8zX5j
12,NEO,https://coinmarketcap.com/currencies/neo/,NEO,https://neo.org/,
13,TRON,https://coinmarketcap.com/currencies/tron/,TRX,https://tronlab.com/,
14,Monero,https://coinmarketcap.com/currencies/monero/,XMR,http://www.monero.cc,https://telegram.me/bitmonero
15,ICON,https://coinmarketcap.com/currencies/icon/,ICX,https://www.icon.foundation/,https://t.me/joinchat/Fqw4igkkVmYtj--ZVi-QcA
16,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,https://bitcoingold.org/,
17,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,https://qtum.org/,https://t.me/joinchat/D5oBaw29NeOdpw6qqqf2lw
18,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,https://ethereumclassic.github.io/,
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,https://lisk.io/,
20,RaiBlocks,https://coinmarketcap.com/currencies/raiblocks/,XRB,https://raiblocks.net/,https://discordapp.com/invite/JphbBas
21,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,https://omg.omise.co/,"https://telegram.me/omisego , https://omg.omise.co/slack"
22,Verge,https://coinmarketcap.com/currencies/verge/,XVG,http://vergecurrency.com/,"https://t.me/VERGExvg , https://discord.gg/vergecurrency"
23,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,https://www.binance.com/,
24,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,https://z.cash/,
25,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,https://bytecoin.org/,https://telegram.me/bytecoinchat
26,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,http://sia.tech/,https://discord.gg/sia
27,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,https://bitconnectcoin.co/,
28,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,http://stratisplatform.com/,https://t.me/StratisPlatform
