rank,name,link,symbol,volume,website,chat
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,15508000000.0,"https://bitcoin.org/ , https://bitcoin.com/",
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,6578010000.0,https://www.ethereum.org/,https://gitter.im/orgs/ethereum/rooms
3,Ripple,https://coinmarketcap.com/currencies/ripple/,XRP,4347250000.0,https://ripple.com/,"https://t.me/Ripple , https://discord.gg/N4x7kPb"
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,1462840000.0,https://www.bitcoincash.org/,
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,1176710000.0,https://www.cardanohub.org/,https://chat.cardanohub.org/
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,1068820000.0,"https://litecoin.com , https://litecoin.org/",https://telegram.me/litecoin
7,NEM,https://coinmarketcap.com/currencies/nem/,XEM,143747000.0,http://nem.io,https://t.me/nemred
8,NEO,https://coinmarketcap.com/currencies/neo/,NEO,1366640000.0,https://neo.org/,
9,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,345003000.0,https://www.stellar.org,http://slack.stellar.org/
10,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,184214000.0,https://iota.org/,https://slack.iota.org/
11,EOS,https://coinmarketcap.com/currencies/eos/,EOS,1362720000.0,https://eos.io/,https://t.me/joinchat/AAAAAEQbOeucnaMWN0A9dQ
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,245662000.0,https://www.dash.org/,https://discord.gg/9z8zX5j
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,244374000.0,http://www.monero.cc,https://telegram.me/bitmonero
14,TRON,https://coinmarketcap.com/currencies/tron/,TRX,612871000.0,https://tronlab.com/,
15,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,453142000.0,https://bitcoingold.org/,
16,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,605823000.0,https://ethereumclassic.github.io/,https://discord.gg/HW4GckH
17,ICON,https://coinmarketcap.com/currencies/icon/,ICX,95590900.0,https://www.icon.foundation/,https://t.me/joinchat/Fqw4igkkVmYtj--ZVi-QcA
18,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,831650000.0,https://qtum.org/,https://t.me/joinchat/D5oBaw29NeOdpw6qqqf2lw
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,99452900.0,https://lisk.io/,
20,RaiBlocks,https://coinmarketcap.com/currencies/raiblocks/,XRB,25997500.0,https://raiblocks.net/,https://discordapp.com/invite/JphbBas
21,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,110714000.0,https://omg.omise.co/,"https://telegram.me/omisego , https://omg.omise.co/slack"
22,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,4258320.0,https://www.ardorplatform.org/,
23,Tether,https://coinmarketcap.com/currencies/tether/,USDT,4560650000.0,https://tether.to,
24,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,244294000.0,https://z.cash/,
25,Populous,https://coinmarketcap.com/currencies/populous/,PPT,6935710.0,http://populous.co/,"https://bitpopulous.slack.com/ , https://t.me/ppttalk"
26,VeChain,https://coinmarketcap.com/currencies/vechain/,VEN,150899000.0,https://www.vechain.com/,"https://t.me/vechain_official_english , https://t.me/joinchat/GG4BlQwm19czcBGOewv40Q"
27,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,72653300.0,http://stratisplatform.com/,https://t.me/StratisPlatform
28,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,340760000.0,https://www.binance.com/,
29,Verge,https://coinmarketcap.com/currencies/verge/,XVG,155696000.0,http://vergecurrency.com/,"https://t.me/VERGExvg , https://discord.gg/vergecurrency"
30,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,4672910.0,"https://www.bitconnect.co/ , https://bitconnectcoin.co/",
31,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,122279000.0,http://sia.tech/,https://discord.gg/sia
32,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,10251600.0,https://bytecoin.org/,https://telegram.me/bytecoinchat
33,KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,KCS,19077600.0,https://www.kucoin.com/,
34,Status,https://coinmarketcap.com/currencies/status/,SNT,823685000.0,http://status.im/,https://chat.status.im/#/register
35,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,51226500.0,https://bitshares.org,https://t.me/BitSharesDEX
36,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,25798000.0,"https://steem.io/ , https://steemit.com/",
37,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,61864500.0,http://dogecoin.com/,https://discord.me/dogecoin/
38,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,38189400.0,https://wavesplatform.com/,"https://telegram.me/wavesnews , http://wavesplatform.herokuapp.com/"
39,Augur,https://coinmarketcap.com/currencies/augur/,REP,24038000.0,http://www.augur.net/,
40,0x,https://coinmarketcap.com/currencies/0x/,ZRX,39741800.0,https://0xproject.com/,
41,Electroneum,https://coinmarketcap.com/currencies/electroneum/,ETN,8381130.0,http://electroneum.com/,https://t.me/joinchat/DxoSakHOdk5mqsE-LelfVg
42,Dragonchain,https://coinmarketcap.com/currencies/dragonchain/,DRGN,8333220.0,https://dragonchain.com/,https://t.me/dragontalk
43,Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,VERI,606652.0,http://veritas.veritaseum.com/,
44,Komodo,https://coinmarketcap.com/currencies/komodo/,KMD,12118800.0,https://komodoplatform.com/,https://telegram.me/KomodoPlatform_Official
45,QASH,https://coinmarketcap.com/currencies/qash/,QASH,39624200.0,https://liquid.plus/,https://t.me/QUOINE
46,DigiByte,https://coinmarketcap.com/currencies/digibyte/,DGB,35035000.0,http://www.digibyte.io/,https://t.me/DigiByteCoin
47,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,21360500.0,https://golem.network/,
48,Gas,https://coinmarketcap.com/currencies/gas/,GAS,71372900.0,https://neo.org/,
49,SALT,https://coinmarketcap.com/currencies/salt/,SALT,18014000.0,https://www.saltlending.com/,https://t.me/joinchat/BmtZ5kKgf4ekiNLggHRDmQ
50,Ark,https://coinmarketcap.com/currencies/ark/,ARK,12862500.0,http://ark.io/,https://ark.io/slack
