rank,name,link,symbol,feixiaohao,volume,website,chat
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,https://www.feixiaohao.com/currencies/bitcoin/,15134500000.0,"https://bitcoin.org/ , https://bitcoin.com/",
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,https://www.feixiaohao.com/currencies/ethereum/,6370040000.0,https://www.ethereum.org/,https://gitter.im/orgs/ethereum/rooms
3,Ripple,https://coinmarketcap.com/currencies/ripple/,XRP,https://www.feixiaohao.com/currencies/ripple/,3953880000.0,https://ripple.com/,"https://t.me/Ripple , https://discord.gg/N4x7kPb"
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,https://www.feixiaohao.com/currencies/bitcoin-cash/,1429070000.0,https://www.bitcoincash.org/,
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,https://www.feixiaohao.com/currencies/cardano/,1149440000.0,https://www.cardanohub.org/,https://chat.cardanohub.org/
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,https://www.feixiaohao.com/currencies/litecoin/,1012900000.0,"https://litecoin.com , https://litecoin.org/",https://telegram.me/litecoin
7,NEO,https://coinmarketcap.com/currencies/neo/,NEO,https://www.feixiaohao.com/currencies/neo/,1246600000.0,https://neo.org/,
8,NEM,https://coinmarketcap.com/currencies/nem/,XEM,https://www.feixiaohao.com/currencies/nem/,137925000.0,http://nem.io,https://t.me/nemred
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,https://www.feixiaohao.com/currencies/iota/,182270000.0,https://iota.org/,https://slack.iota.org/
10,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,https://www.feixiaohao.com/currencies/stellar/,329746000.0,https://www.stellar.org,http://slack.stellar.org/
11,Dash,https://coinmarketcap.com/currencies/dash/,DASH,https://www.feixiaohao.com/currencies/dash/,239506000.0,https://www.dash.org/,https://discord.gg/9z8zX5j
12,EOS,https://coinmarketcap.com/currencies/eos/,EOS,https://www.feixiaohao.com/currencies/eos/,1254210000.0,https://eos.io/,https://t.me/joinchat/AAAAAEQbOeucnaMWN0A9dQ
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,https://www.feixiaohao.com/currencies/monero/,237347000.0,http://www.monero.cc,https://telegram.me/bitmonero
14,TRON,https://coinmarketcap.com/currencies/tron/,TRX,https://www.feixiaohao.com/currencies/tron/,562946000.0,https://tronlab.com/,
15,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,https://www.feixiaohao.com/currencies/bitcoin-gold/,384006000.0,https://bitcoingold.org/,
16,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,https://www.feixiaohao.com/currencies/ethereum-classic/,574664000.0,https://ethereumclassic.github.io/,https://discord.gg/HW4GckH
17,ICON,https://coinmarketcap.com/currencies/icon/,ICX,https://www.feixiaohao.com/currencies/icon/,87997600.0,https://www.icon.foundation/,https://t.me/joinchat/Fqw4igkkVmYtj--ZVi-QcA
18,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,https://www.feixiaohao.com/currencies/qtum/,749964000.0,https://qtum.org/,https://t.me/joinchat/D5oBaw29NeOdpw6qqqf2lw
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,https://www.feixiaohao.com/currencies/lisk/,93234300.0,https://lisk.io/,
20,RaiBlocks,https://coinmarketcap.com/currencies/raiblocks/,XRB,https://www.feixiaohao.com/currencies/raiblocks/,24788900.0,https://raiblocks.net/,https://discordapp.com/invite/JphbBas
21,Tether,https://coinmarketcap.com/currencies/tether/,USDT,https://www.feixiaohao.com/currencies/tether/,4557350000.0,https://tether.to,
22,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,https://www.feixiaohao.com/currencies/omisego/,106596000.0,https://omg.omise.co/,"https://telegram.me/omisego , https://omg.omise.co/slack"
23,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,https://www.feixiaohao.com/currencies/zcash/,253479000.0,https://z.cash/,
24,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,https://www.feixiaohao.com/currencies/ardor/,4163560.0,https://www.ardorplatform.org/,
25,Populous,https://coinmarketcap.com/currencies/populous/,PPT,https://www.feixiaohao.com/currencies/populous/,6969340.0,http://populous.co/,"https://bitpopulous.slack.com/ , https://t.me/ppttalk"
26,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,https://www.feixiaohao.com/currencies/stratis/,68233800.0,http://stratisplatform.com/,https://t.me/StratisPlatform
27,VeChain,https://coinmarketcap.com/currencies/vechain/,VEN,https://www.feixiaohao.com/currencies/vechain/,139564000.0,https://www.vechain.com/,"https://t.me/vechain_official_english , https://t.me/joinchat/GG4BlQwm19czcBGOewv40Q"
28,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,https://www.feixiaohao.com/currencies/binance-coin/,316724000.0,https://www.binance.com/,
29,Verge,https://coinmarketcap.com/currencies/verge/,XVG,https://www.feixiaohao.com/currencies/verge/,148523000.0,http://vergecurrency.com/,"https://t.me/VERGExvg , https://discord.gg/vergecurrency"
30,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,https://www.feixiaohao.com/currencies/siacoin/,116473000.0,http://sia.tech/,https://discord.gg/sia
31,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,https://www.feixiaohao.com/currencies/bytecoin-bcn/,10063500.0,https://bytecoin.org/,https://telegram.me/bytecoinchat
32,Status,https://coinmarketcap.com/currencies/status/,SNT,https://www.feixiaohao.com/currencies/status/,819594000.0,http://status.im/,https://chat.status.im/#/register
33,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,https://www.feixiaohao.com/currencies/bitshares/,49401400.0,https://bitshares.org,https://t.me/BitSharesDEX
34,KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,KCS,https://www.feixiaohao.com/currencies/kucoin-shares/,17785800.0,https://www.kucoin.com/,
35,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,https://www.feixiaohao.com/currencies/bitconnect/,3350090.0,"https://www.bitconnect.co/ , https://bitconnectcoin.co/",
36,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,https://www.feixiaohao.com/currencies/steem/,25068700.0,"https://steem.io/ , https://steemit.com/",
37,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,https://www.feixiaohao.com/currencies/waves/,37282700.0,https://wavesplatform.com/,"https://telegram.me/wavesnews , http://wavesplatform.herokuapp.com/"
38,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,https://www.feixiaohao.com/currencies/dogecoin/,59438000.0,http://dogecoin.com/,https://discord.me/dogecoin/
39,Augur,https://coinmarketcap.com/currencies/augur/,REP,https://www.feixiaohao.com/currencies/augur/,23606800.0,http://www.augur.net/,
40,0x,https://coinmarketcap.com/currencies/0x/,ZRX,https://www.feixiaohao.com/currencies/0x/,38095200.0,https://0xproject.com/,
41,Electroneum,https://coinmarketcap.com/currencies/electroneum/,ETN,https://www.feixiaohao.com/currencies/electroneum/,8123680.0,http://electroneum.com/,https://t.me/joinchat/DxoSakHOdk5mqsE-LelfVg
42,Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,VERI,https://www.feixiaohao.com/currencies/veritaseum/,573446.0,http://veritas.veritaseum.com/,
43,Dragonchain,https://coinmarketcap.com/currencies/dragonchain/,DRGN,https://www.feixiaohao.com/currencies/dragonchain/,7927660.0,https://dragonchain.com/,https://t.me/dragontalk
44,QASH,https://coinmarketcap.com/currencies/qash/,QASH,https://www.feixiaohao.com/currencies/qash/,37591800.0,https://liquid.plus/,https://t.me/QUOINE
45,Komodo,https://coinmarketcap.com/currencies/komodo/,KMD,https://www.feixiaohao.com/currencies/komodo/,11640100.0,https://komodoplatform.com/,https://telegram.me/KomodoPlatform_Official
46,SALT,https://coinmarketcap.com/currencies/salt/,SALT,https://www.feixiaohao.com/currencies/salt/,17198800.0,https://www.saltlending.com/,https://t.me/joinchat/BmtZ5kKgf4ekiNLggHRDmQ
47,Decred,https://coinmarketcap.com/currencies/decred/,DCR,https://www.feixiaohao.com/currencies/decred/,4310970.0,"https://www.decred.org/ , https://docs.decred.org/","https://slack.decred.org/ , https://discord.gg/GJ2GXfz"
48,DigiByte,https://coinmarketcap.com/currencies/digibyte/,DGB,https://www.feixiaohao.com/currencies/digibyte/,34422000.0,http://www.digibyte.io/,https://t.me/DigiByteCoin
49,Ark,https://coinmarketcap.com/currencies/ark/,ARK,https://www.feixiaohao.com/currencies/ark/,12241500.0,http://ark.io/,https://ark.io/slack
50,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,https://www.feixiaohao.com/currencies/golem-network-tokens/,20152100.0,https://golem.network/,
51,Hshare,https://coinmarketcap.com/currencies/hshare/,HSR,https://www.feixiaohao.com/currencies/hshare/,128268000.0,https://h.cash/,
52,Gas,https://coinmarketcap.com/currencies/gas/,GAS,https://www.feixiaohao.com/currencies/gas/,64116100.0,https://neo.org/,
53,SmartCash,https://coinmarketcap.com/currencies/smartcash/,SMART,https://www.feixiaohao.com/currencies/smartcash/,957165.0,https://smartcash.cc/,
54,WAX,https://coinmarketcap.com/currencies/wax/,WAX,https://www.feixiaohao.com/currencies/wax/,8138400.0,https://wax.io/,"https://t.me/wax_io , https://t.me/waxtokenannoucements"
55,Walton,https://coinmarketcap.com/currencies/walton/,WTC,https://www.feixiaohao.com/currencies/walton/,56768800.0,http://www.waltonchain.org/,https://t.me/waltonchain_en
56,RChain,https://coinmarketcap.com/currencies/rchain/,RHOC,https://www.feixiaohao.com/currencies/rchain/,1445680.0,https://www.rchain.coop/,
57,Loopring,https://coinmarketcap.com/currencies/loopring/,LRC,https://www.feixiaohao.com/currencies/loopring/,14145900.0,https://loopring.org,https://loopring.rocket.chat/
58,Dentacoin,https://coinmarketcap.com/currencies/dentacoin/,DCN,https://www.feixiaohao.com/currencies/dentacoin/,4149210.0,http://www.dentacoin.com/,https://t.me/dentacoin
59,Ethos,https://coinmarketcap.com/currencies/ethos/,ETHOS,https://www.feixiaohao.com/currencies/ethos/,13439600.0,https://www.ethos.io/,
60,PIVX,https://coinmarketcap.com/currencies/pivx/,PIVX,https://www.feixiaohao.com/currencies/pivx/,8634060.0,http://www.pivx.org,
61,Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,BAT,https://www.feixiaohao.com/currencies/basic-attention-token/,24677100.0,https://basicattentiontoken.org/,
