rank,name,link,symbol,feixiaohao,volume-usd,website,chat,date,exchangeNumber
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,https://www.feixiaohao.com/currencies/bitcoin/,9480920000.0,"https://bitcoin.org/ , https://bitcoin.com/",,2008-11-01,166
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,https://www.feixiaohao.com/currencies/ethereum/,3449770000.0,https://www.ethereum.org/,https://gitter.im/orgs/ethereum/rooms,2014-07-24,137
3,Ripple,https://coinmarketcap.com/currencies/ripple/,XRP,https://www.feixiaohao.com/currencies/ripple/,2063490000.0,https://ripple.com/,"https://t.me/Ripple , https://discord.gg/N4x7kPb",2011-04-18,43
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,https://www.feixiaohao.com/currencies/bitcoin-cash/,578396000.0,https://www.bitcoincash.org/,,2017-07-24,99
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,https://www.feixiaohao.com/currencies/cardano/,464848000.0,https://www.cardanohub.org/,https://chat.cardanohub.org/,2017-10-02,6
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,https://www.feixiaohao.com/currencies/litecoin/,423558000.0,"https://litecoin.com , https://litecoin.org/",https://telegram.me/litecoin,2011-11-09,118
7,EOS,https://coinmarketcap.com/currencies/eos/,EOS,https://www.feixiaohao.com/currencies/eos/,2853940000.0,https://eos.io/,https://t.me/joinchat/AAAAAEQbOeucnaMWN0A9dQ,2017-07-02,45
8,NEM,https://coinmarketcap.com/currencies/nem/,XEM,https://www.feixiaohao.com/currencies/nem/,65308500.0,http://nem.io,https://t.me/nemred,2015-04-01,19
9,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,https://www.feixiaohao.com/currencies/stellar/,361929000.0,https://www.stellar.org,http://slack.stellar.org/,2014-08-01,16
10,NEO,https://coinmarketcap.com/currencies/neo/,NEO,https://www.feixiaohao.com/currencies/neo/,316480000.0,https://neo.org/,,2014-06-01,26
