name,link,rating,ico_profile,team,vision,product,date
pocketinns,https://icobench.com/ico/pocketinns/,4.0,5.0,4.0,3.9,3.7,2018-01-15 - 2018-01-31
wepower,https://icobench.com/ico/wepower/,4.3,5.0,4.3,4.3,4.0,2018-02-01 - 2018-02-14
gilgamesh-platform,https://icobench.com/ico/gilgamesh-platform/,4.2,4.9,3.7,4.1,4.2,2018-01-15 - 2018-03-26
paypro,https://icobench.com/ico/paypro/,4.2,4.9,4.4,4.0,3.7,2018-01-15 - 2018-01-30
genieico,https://icobench.com/ico/genieico/,4.0,4.8,3.9,3.7,3.7,2017-11-13 - 2018-02-28
remme,https://icobench.com/ico/remme/,4.3,4.5,4.3,4.5,4.1,2018-02-13 - 2018-03-13
coinloan,https://icobench.com/ico/coinloan/,4.0,4.4,3.5,4.3,3.7,2017-11-26 - 2018-02-14
fire-lotto,https://icobench.com/ico/fire-lotto/,4.2,4.4,4.1,4.4,4.0,2018-01-15 - 2018-02-15
bubbletone,https://icobench.com/ico/bubbletone/,4.2,4.3,4.8,4.5,3.3,2018-03-20 - 2018-05-20
sp8de,https://icobench.com/ico/sp8de/,4.4,4.3,3.9,5.0,4.7,2018-01-08 - 2018-03-11
medicalchain,https://icobench.com/ico/medicalchain/,4.4,4.1,4.6,4.6,4.1,
nper,https://icobench.com/ico/nper/,3.6,4.1,3.7,3.8,3.0,2018-01-19 - 2018-01-31
datawallet,https://icobench.com/ico/datawallet/,3.8,3.9,4.0,3.5,3.5,2018-02-05 - 2018-03-07
let-bet,https://icobench.com/ico/let-bet/,3.3,3.8,3.0,2.8,2.4,2018-01-20 - 2018-02-14
fluzfluz,https://icobench.com/ico/fluzfluz/,3.9,5.0,3.9,3.6,3.7,2018-01-18 - 2018-02-22
gizer,https://icobench.com/ico/gizer/,4.0,5.0,3.8,3.8,3.7,
modultrade,https://icobench.com/ico/modultrade/,4.4,5.0,4.5,4.2,4.0,2017-11-28 - 2018-01-27
napoleon-x,https://icobench.com/ico/napoleon-x/,3.9,5.0,4.2,3.8,3.2,2018-01-22 - 2018-02-28
savedroid,https://icobench.com/ico/savedroid/,4.1,5.0,4.5,3.3,2.7,2018-01-12 - 2018-03-09
scorum,https://icobench.com/ico/scorum/,4.0,5.0,4.1,4.0,3.6,2018-01-14 - 2018-02-11
