name,link,rating,ico_profile,team,vision,product,start,end
corcom,https://icobench.com/ico/corcom/,3.4,3.4,0,0,0,01 Jan 2018,31 Jan 2018
doc-coin,https://icobench.com/ico/doc-coin/,3.4,3.4,0,0,0,25 Jan 2018,02 Feb 2018
dolphinbi,https://icobench.com/ico/dolphinbi/,3.6,3.4,3.3,4.1,4.1,Unknown,Unknown
elpis,https://icobench.com/ico/elpis/,3.7,3.4,5.0,5.0,5.0,01 Nov 2017,01 Mar 2018
incremint-io,https://icobench.com/ico/incremint-io/,3.6,3.4,5.0,5.0,5.0,15 Jan 2018,28 Feb 2018
mcfly-aero,https://icobench.com/ico/mcfly-aero/,3.1,3.4,3.0,3.1,3.0,22 Jan 2018,15 Feb 2018
mdl-talent-hub,https://icobench.com/ico/mdl-talent-hub/,3.4,3.4,0,0,0,12 Jan 2018,31 Jan 2018
mokenex,https://icobench.com/ico/mokenex/,3.4,3.4,0,0,0,22 Jan 2018,13 Mar 2018
mossland,https://icobench.com/ico/mossland/,3.4,3.4,0,0,0,29 Jan 2018,11 Feb 2018
news,https://icobench.com/ico/news/,3.4,3.4,0,0,0,01 Jan 2018,31 Jan 2018
nuggets,https://icobench.com/ico/nuggets/,3.5,3.4,3.0,4.0,4.0,14 Nov 2017,Unknown
peerity,https://icobench.com/ico/peerity/,3.3,3.4,3.9,2.9,2.9,01 Feb 2018,28 Feb 2018
polyswarm,https://icobench.com/ico/polyswarm/,3.3,3.4,3.0,3.0,3.0,06 Feb 2018,08 Mar 2018
pumped,https://icobench.com/ico/pumped/,3.4,3.4,0,0,0,19 Feb 2018,Unknown
rhovit,https://icobench.com/ico/rhovit/,3.1,3.4,3.0,2.7,2.7,Unknown,Unknown
shivers,https://icobench.com/ico/shivers/,3.4,3.4,0,0,0,01 Jan 2018,28 Feb 2018
swarm-fund,https://icobench.com/ico/swarm-fund/,3.4,3.4,4.0,3.0,3.0,21 Sep 2017,Unknown
synapse,https://icobench.com/ico/synapse/,3.3,3.4,3.0,3.0,3.0,05 Feb 2018,05 Mar 2018
tetarise,https://icobench.com/ico/tetarise/,3.4,3.4,0,0,0,Unknown,Unknown
tokenai,https://icobench.com/ico/tokenai/,3.4,3.4,3.0,4.0,3.0,15 Nov 2017,Unknown
white-rabbit,https://icobench.com/ico/white-rabbit/,3.4,3.4,0,0,0,30 Nov 2017,30 Jan 2018
ziggurat-token,https://icobench.com/ico/ziggurat-token/,3.3,3.4,3.0,3.0,3.0,20 Nov 2017,19 Apr 2018
beesocials,https://icobench.com/ico/beesocials/,2.7,3.3,2.9,2.6,2.0,Unknown,Unknown
bioritmai,https://icobench.com/ico/bioritmai/,3.3,3.3,0,0,0,30 Jan 2018,13 Feb 2018
blockchain-aero,https://icobench.com/ico/blockchain-aero/,3.6,3.3,3.2,4.5,3.9,Unknown,Unknown
brixby,https://icobench.com/ico/brixby/,3.2,3.3,3.0,3.0,3.0,Unknown,Unknown
concertvr,https://icobench.com/ico/concertvr/,3.3,3.3,0,0,0,15 Feb 2018,22 Feb 2018
copytrack,https://icobench.com/ico/copytrack/,3.4,3.3,5.0,3.0,3.0,10 Dec 2017,10 Feb 2018
eiracube,https://icobench.com/ico/eiracube/,3.3,3.3,0,0,0,25 Jan 2018,25 Mar 2018
electrify-asia,https://icobench.com/ico/electrify-asia/,3.6,3.3,5.0,4.5,4.0,13 Feb 2018,01 Mar 2018
ethorse,https://icobench.com/ico/ethorse/,3.8,3.3,3.2,4.4,4.3,24 Jan 2018,20 Feb 2018
eticket4,https://icobench.com/ico/eticket4/,2.7,3.3,2.0,1.0,1.0,30 Jan 2018,21 Feb 2018
fair-game,https://icobench.com/ico/fair-game/,3.1,3.3,2.7,3.3,3.0,28 Dec 2017,28 Jan 2018
freelancercoin,https://icobench.com/ico/freelancercoin/,3.3,3.3,0,0,0,29 Dec 2017,31 Mar 2018
game-protocol,https://icobench.com/ico/game-protocol/,3.3,3.3,0,0,0,Unknown,Unknown
ink-labs-foundation,https://icobench.com/ico/ink-labs-foundation/,3.5,3.3,4.0,4.0,4.0,Unknown,Unknown
jboxcoin,https://icobench.com/ico/jboxcoin/,3.4,3.3,5.0,5.0,5.0,08 Nov 2017,Unknown
moms-avenue,https://icobench.com/ico/moms-avenue/,2.5,3.3,2.4,2.2,1.8,Unknown,Unknown
origin-protocol,https://icobench.com/ico/origin-protocol/,3.3,3.3,4.0,5.0,3.0,Unknown,Unknown
peerguess,https://icobench.com/ico/peerguess/,3.5,3.3,4.0,4.0,4.0,Unknown,Unknown
pingvalue,https://icobench.com/ico/pingvalue/,3.2,3.3,3.0,3.0,3.0,13 Jan 2018,10 Feb 2018
plancoin,https://icobench.com/ico/plancoin/,3.3,3.3,0,0,0,18 Jan 2018,23 Jan 2018
priorityex,https://icobench.com/ico/priorityex/,3.3,3.3,0,0,0,01 Jan 2018,31 Mar 2018
quasa,https://icobench.com/ico/quasa/,3.2,3.3,3.0,3.0,3.0,15 Feb 2018,Unknown
rentything,https://icobench.com/ico/rentything/,3.3,3.3,0,0,0,28 Feb 2018,31 Mar 2018
swytch,https://icobench.com/ico/swytch/,3.3,3.3,0,0,0,15 Feb 2018,Unknown
tradeplayz,https://icobench.com/ico/tradeplayz/,3.3,3.3,0,0,0,01 Feb 2018,01 Mar 2018
valhalla,https://icobench.com/ico/valhalla/,3.0,3.3,3.0,2.0,2.0,16 Jan 2018,Unknown
zilla,https://icobench.com/ico/zilla/,3.3,3.3,4.0,3.0,3.0,Unknown,Unknown
ammbr,https://icobench.com/ico/ammbr/,3.1,3.1,0,0,0,14 Nov 2017,Unknown
balehu-bucks,https://icobench.com/ico/balehu-bucks/,3.3,3.1,4.0,4.0,4.0,01 Feb 2018,31 Mar 2018
beautiq,https://icobench.com/ico/beautiq/,3.1,3.1,0,0,0,20 Feb 2018,20 Mar 2018
beefcoin,https://icobench.com/ico/beefcoin/,2.3,3.1,1.9,1.9,2.0,01 Jan 2018,31 Mar 2018
biometrids,https://icobench.com/ico/biometrids/,3.3,3.1,3.0,4.5,3.0,29 Jan 2018,26 Feb 2018
conda,https://icobench.com/ico/conda/,3.1,3.1,0,0,0,20 Dec 2017,15 Feb 2018
cryogen,https://icobench.com/ico/cryogen/,3.1,3.1,0,0,0,09 Nov 2017,01 Feb 2018
cryptoalias,https://icobench.com/ico/cryptoalias/,3.1,3.1,3.0,4.0,2.3,20 Dec 2017,20 Feb 2018
darenta,https://icobench.com/ico/darenta/,3.0,3.1,2.0,2.0,4.0,31 Dec 2017,31 Mar 2018
deep-gold,https://icobench.com/ico/deep-gold/,3.1,3.1,3.0,3.0,3.0,Unknown,Unknown
deex,https://icobench.com/ico/deex/,3.1,3.1,0,0,0,10 Jan 2018,28 Feb 2018
fast-invest,https://icobench.com/ico/fast-invest/,3.3,3.1,4.0,3.0,4.0,04 Dec 2017,31 Jan 2018
first-crypto-etf,https://icobench.com/ico/first-crypto-etf/,3.1,3.1,0,0,0,Unknown,Unknown
further-network,https://icobench.com/ico/further-network/,3.1,3.1,0,0,0,05 Feb 2018,26 Feb 2018
havven,https://icobench.com/ico/havven/,3.1,3.1,0,0,0,28 Feb 2018,07 Mar 2018
hearthy,https://icobench.com/ico/hearthy/,3.1,3.1,3.0,3.4,3.0,05 Feb 2018,25 Feb 2018
majato-project,https://icobench.com/ico/majato-project/,3.2,3.1,2.7,4.7,2.3,20 Dec 2017,03 Feb 2018
nucleus,https://icobench.com/ico/nucleus/,3.2,3.1,3.3,3.6,3.0,01 Feb 2018,Unknown
pinnacle-brilliance,https://icobench.com/ico/pinnacle-brilliance/,3.1,3.1,0,0,0,15 Jan 2018,30 Jan 2018
prosume-energy,https://icobench.com/ico/prosume-energy/,3.1,3.1,3.0,3.0,3.0,Unknown,Unknown
